,E,Time,conv,number_of_basis_states
0,2.7810477729691714,0.0021615489999931015,27.0,4.0
1,2.709823623990691,0.016251427000000263,30.0,8.0
2,2.669631539638786,0.05587952899999493,33.0,12.0
3,2.642440090664383,0.1529583439999982,35.0,16.0
4,2.6222513265756944,0.33213375100000064,37.0,20.0
5,2.606380183846043,0.6699564409999823,39.0,24.0
6,2.5934107511338316,1.1980297430000064,40.0,28.0
7,2.58251084226411,2.0867231969999978,42.0,32.0
8,2.5731537173136365,3.3488193299999978,43.0,36.0
9,2.5649863466179545,5.417525570000009,45.0,40.0
10,2.5577612379995234,8.006784068000002,46.0,44.0
11,2.5512990595330787,10.616955478000023,47.0,48.0
12,2.5454657345556337,14.95572341899998,49.0,52.0
13,2.540158755240776,20.51016500100002,50.0,56.0
