,E,Time,conv,number_of_basis_states
0,0.6304427560970232,0.0037775450000481214,59.0,4.0
1,0.3405188779095454,0.029028084999993098,74.0,8.0
2,0.07585127876340791,0.11216369599998188,86.0,12.0
3,-0.18094549676572114,0.3209176780000007,98.0,16.0
4,-0.4377992639905224,0.7544992670000283,109.0,20.0
5,-0.6994460033596672,1.556533997000031,120.0,24.0
6,-0.9690642992725143,2.8689966320000053,131.0,28.0
7,-1.2492889207878886,5.076951377,142.0,32.0
8,-1.54226000182727,8.909822177000024,153.0,36.0
9,-1.8499916986595193,14.46608702200001,164.0,40.0
10,-2.174404591607827,22.254857652999988,175.0,44.0
11,-2.5173702664813233,31.226592506999964,186.0,48.0
12,-2.880823714687666,45.39016423300001,198.0,52.0
13,-3.266749917703203,63.960703318000014,209.0,56.0
