,E,Time,number_of_basis_states
0,0.6355484735755977,0.0014682860000000408,4.0
1,0.1455588053918956,0.04625442200000007,8.0
2,-0.2586978093762429,0.35975739399999995,12.0
3,-0.6287451883847301,0.6155022349999999,16.0
4,-0.9802475367948832,1.170829886,20.0
5,-1.3201678010804179,2.17168303,24.0
6,-1.6522157908557389,3.919331972,28.0
7,-1.9785984834442043,6.461752907999999,32.0
8,-2.3007315942999202,10.316643146999999,36.0
9,-2.619574838556788,15.589632789000003,40.0
10,-2.935806997996002,23.066472945000008,44.0
11,-3.2499246042890597,32.205187519000006,48.0
12,-3.5623009751365746,47.62191555000001,52.0
13,-3.8732232607368933,67.48868403200001,56.0
