,E,Time,conv,number_of_basis_states
0,2.533333333333333,1.925633879,1.0,4.0
1,2.384126984126984,0.0038152359999998886,1.0,8.0
2,2.291663891663892,0.013999005999999703,1.0,12.0
3,2.2243939067468483,0.037799585999999774,1.0,16.0
4,2.171467473015461,0.08207628099999997,1.0,20.0
5,2.127823580675917,0.15854867199999978,1.0,24.0
6,2.0906843725022264,0.2870866839999997,1.0,28.0
7,2.0583588930132315,0.47766695800000036,1.0,32.0
8,2.0297406643950024,0.7535146369999994,1.0,36.0
9,2.004065833842123,1.1235088380000002,1.0,40.0
10,1.980784810334214,1.6275904030000001,1.0,44.0
11,1.9594889160899918,2.3243738349999994,1.0,48.0
12,1.9398659725729621,3.154344033000001,1.0,52.0
13,1.9216721174376967,4.198589303,1.0,56.0
