,E,Time,conv,number_of_basis_states
0,2.781047745953936,0.031315726999991966,499.0,4.0
1,,0.19092921600000068,499.0,8.0
2,,0.6589721960000077,499.0,12.0
3,,1.7223105440000097,499.0,16.0
4,,3.5984950959999935,499.0,20.0
5,,6.917332801999976,499.0,24.0
6,,11.981930708999982,499.0,28.0
7,,20.250534955000006,499.0,32.0
8,,31.55034195899998,499.0,36.0
9,,49.50463888999997,499.0,40.0
10,,71.38503333199998,499.0,44.0
11,,92.497478839,499.0,48.0
12,,124.47609307699997,499.0,52.0
13,,162.82128732400008,499.0,56.0
