,E,Time,conv,number_of_basis_states
0,0.6304427548626055,0.002689397000040117,37.0,4.0
1,0.340518876647932,0.019135860999995202,47.0,8.0
2,0.07585127728690466,0.07705952700007401,55.0,12.0
3,-0.1809454981903802,0.21923707999997077,63.0,16.0
4,-0.43779926603672226,0.5152787680000301,71.0,20.0
5,-0.6994460051961906,1.0562063950000038,78.0,24.0
6,-0.9690643016631006,1.9997641840000142,86.0,28.0
7,-1.2492889229464077,3.5448680409999724,93.0,32.0
8,-1.5422600045615678,6.229515726000045,101.0,36.0
9,-1.8499917012060028,10.093018570999902,108.0,40.0
10,-2.174404594821776,15.62222981900004,116.0,44.0
11,-2.5173702695815785,21.269884505999926,123.0,48.0
12,-2.8808237176976568,30.88234520800006,131.0,52.0
13,-3.2667499215992173,43.63422376400001,139.0,56.0
