,E,Time,number_of_basis_states
0,0.6304427542905139,1.993834498,4.0
1,0.34051887633488365,0.018777399999999833,8.0
2,0.07585127680267889,0.0772417609999998,12.0
3,-0.18094549877537247,0.21529414100000022,16.0
4,-0.4377992666733215,0.5114413170000001,20.0
5,-0.6994460059238663,1.0315687160000002,24.0
6,-0.9690643024139023,2.000433696,28.0
7,-1.2492889237806315,3.405430095,32.0
8,-1.5422600046463062,5.566547465000001,36.0
9,-1.8499917021744197,9.183861244000001,40.0
10,-2.174404595849484,14.171536721999999,44.0
11,-2.5173702707489363,21.279633433999997,48.0
12,-2.8808237189684283,30.748968892000008,52.0
13,-3.2667499229989208,43.980694385999996,56.0
