,E,Time,conv,number_of_basis_states
0,0.6304427540835605,0.002140326000017012,26.0,4.0
1,0.340518876036079,0.014487338000094496,33.0,8.0
2,0.07585127592532315,0.05933799599995382,40.0,12.0
3,-0.180945499573129,0.16781360699997094,46.0,16.0
4,-0.43779926669146585,0.3893821440000238,51.0,20.0
5,-0.6994460065353232,0.8065532729999632,57.0,24.0
6,-0.969064302869028,1.5239218129999017,63.0,28.0
7,-1.249288924094822,2.6939219660000617,68.0,32.0
8,-1.5422600056178473,4.725948672999948,74.0,36.0
9,-1.84999170297261,7.7120641460001025,80.0,40.0
10,-2.1744045957242397,11.786292301999993,85.0,44.0
11,-2.5173702712975694,16.21842941099999,91.0,48.0
12,-2.8808237193936566,23.51584437000008,97.0,52.0
13,-3.2667499233105337,33.22017101899996,103.0,56.0
