,E,Time,conv,number_of_basis_states
0,2.7810477713915933,0.0034350609999975745,48.0,4.0
1,2.709823621358786,0.022982169000002273,51.0,8.0
2,2.6696315370576227,0.07974961000000036,51.0,12.0
3,2.642440088661582,0.21035870700000103,52.0,16.0
4,2.6222513245287757,0.437982121000001,52.0,20.0
5,2.6063801810314065,0.8446177730000031,51.0,24.0
6,2.593410747791271,1.4356719359999985,51.0,28.0
7,2.58251083904022,2.4522324739999988,51.0,32.0
8,2.5731537147797923,3.7604303150000007,51.0,36.0
9,2.5649863440646663,5.817622705000002,51.0,40.0
10,2.5577612349065273,8.437090336000004,51.0,44.0
11,2.551299057206517,11.290578837000005,51.0,48.0
12,2.5454657321861127,15.416202175000002,51.0,52.0
13,2.54015875231358,20.714131866999992,51.0,56.0
