,E,Time,number_of_basis_states
0,2.779870139437895,0.012808000000000153,4.0
1,2.668909843036871,0.18452200000000007,8.0
2,2.6216984633783422,0.7168699999999999,12.0
3,2.5929669101135326,2.0242559999999994,16.0
4,2.572787788317838,4.673830000000001,20.0
5,2.5574542805290066,9.908470000000001,24.0
6,2.5452052751652605,18.322385999999998,28.0
7,2.535075507998857,31.414942000000003,32.0
8,2.5264827340314437,56.980576,36.0
9,2.5190506454836337,85.487948,40.0
10,2.512522989179406,121.40290399999998,44.0
11,2.5067179662773302,178.36177600000002,48.0
12,2.5015022685027875,247.831258,52.0
13,2.496775448730219,332.48668199999986,56.0
14,2.4924600748423122,439.65960999999993,60.0
15,2.488495287411351,548.1353159999999,64.0
16,2.484832447110115,726.83248,68.0
17,2.48143211195007,893.6318459999998,72.0
18,2.4782618873193396,978.1195559999996,76.0
19,2.475294864477757,1199.81437,80.0
20,2.472508465283371,1462.2820059999995,84.0
21,2.469883573286616,1771.3985280000006,88.0
22,2.4674038705020873,2119.5643800000016,92.0
23,2.4650553243991973,2521.359451999999,96.0
