,E,Time,conv,number_of_basis_states
0,2.781047745953936,0.026294182000128785,499.0,4.0
1,,0.1685748660001991,499.0,8.0
2,,0.5841728049999801,499.0,12.0
3,,1.5185104329998467,499.0,16.0
4,,3.135202941999978,499.0,20.0
5,,6.037940143000014,499.0,24.0
6,,10.463320002999808,499.0,28.0
7,,17.80965446600021,499.0,32.0
8,,27.724039702000027,499.0,36.0
9,,41.61960043199997,499.0,40.0
10,,61.37216063200003,499.0,44.0
11,,79.37766101000034,499.0,48.0
12,,109.92457427099998,499.0,52.0
13,,147.92321689100027,499.0,56.0
14,,192.8032187509998,499.0,60.0
15,,257.64471527900014,499.0,64.0
16,,316.7780322909998,499.0,68.0
17,,396.7141351710002,499.0,72.0
18,,487.2254688989997,499.0,76.0
19,,598.703480747,499.0,80.0
20,,715.5893395089997,499.0,84.0
21,,860.8494376089993,499.0,88.0
22,,1015.9585329729998,499.0,92.0
23,,1223.463858522,499.0,96.0
