,E,Time,conv,number_of_basis_states
0,0.6304427598140301,0.006944451999515877,122.0,4.0
1,0.34051888308186395,0.05294250000042666,150.0,8.0
2,0.07585128345471737,0.21158465599910414,175.0,12.0
3,-0.18094549077898447,0.6172841500010691,197.0,16.0
4,-0.43779925794179464,1.4168511299994861,219.0,20.0
5,-0.6994459965428554,2.9723340649998136,240.0,24.0
6,-0.9690642917717933,5.5727012070001365,261.0,28.0
7,-1.2492889125920783,10.228571872999964,282.0,32.0
8,-1.5422599928764087,17.07614601700152,303.0,36.0
9,-1.8499916897926418,27.435324391000904,325.0,40.0
10,-2.1744045817519355,42.94240699900001,346.0,44.0
11,-2.5173702564325526,59.00710987099956,368.0,48.0
12,-2.8808237043136327,86.68344821899882,391.0,52.0
13,-3.2667499067584505,123.02758530400024,413.0,56.0
14,-3.677224269566894,169.49698923300093,437.0,60.0
15,-4.114438131510815,238.0015516000003,460.0,64.0
16,-4.580722546010099,307.49807325000074,484.0,68.0
17,-5.078571754017101,396.8700875350005,499.0,72.0
18,-5.610666806755749,487.3928086220003,499.0,76.0
19,-6.179899743977854,598.8347002549999,499.0,80.0
20,-6.789398255342796,715.6853819910011,499.0,84.0
21,-7.4425507710262355,860.9092201009989,499.0,88.0
22,-8.14303152480504,1016.2102654999999,499.0,92.0
23,-8.89482497455672,1223.4341924170003,499.0,96.0
