,E,Time,conv,number_of_basis_states
0,0.6304427560970232,0.00373659700017015,59.0,4.0
1,0.3405188779095454,0.027851304999785498,74.0,8.0
2,0.07585127876340791,0.11003743000037502,86.0,12.0
3,-0.18094549676572114,0.32164231299975654,98.0,16.0
4,-0.4377992639905224,0.7358755990007921,109.0,20.0
5,-0.6994460033596672,1.551291501000378,120.0,24.0
6,-0.9690642992725143,2.916935330000342,131.0,28.0
7,-1.2492889207878886,5.342771333998826,142.0,32.0
8,-1.54226000182727,8.91920600100093,153.0,36.0
9,-1.8499916986595193,14.293312749001416,164.0,40.0
10,-2.174404591607827,22.596050320998984,175.0,44.0
11,-2.5173702664813233,30.7293450090001,186.0,48.0
12,-2.880823714687666,45.13656834200083,198.0,52.0
13,-3.266749917703203,63.94343041100001,209.0,56.0
14,-3.677224280318928,87.87453987300069,221.0,60.0
15,-4.114438144194795,124.05795953900088,234.0,64.0
16,-4.580722559029123,159.89781256300012,246.0,68.0
17,-5.078571779446919,210.2895465750007,259.0,72.0
18,-5.6106668910828414,270.6442728229995,272.0,76.0
19,-6.179899968826913,349.0860421770012,286.0,80.0
20,-6.7893987948780214,437.028568042002,300.0,84.0
21,-7.442551983740669,549.3157082079997,314.0,88.0
22,-8.143034117308611,676.3368202749989,328.0,92.0
23,-8.894830286155267,849.9103673539976,343.0,96.0
