,E,Time,conv,number_of_basis_states
0,0.6304427540835605,0.0020561570017889608,26.0,4.0
1,0.340518876036079,0.014383178000571206,33.0,8.0
2,0.07585127592532315,0.05714144800003851,40.0,12.0
3,-0.180945499573129,0.1673578810004983,46.0,16.0
4,-0.43779926669146585,0.3791501439991407,51.0,20.0
5,-0.6994460065353232,0.8034157709989813,57.0,24.0
6,-0.969064302869028,1.521564540998952,63.0,28.0
7,-1.249288924094822,2.757533287996921,68.0,32.0
8,-1.5422600056178473,4.632720696001343,74.0,36.0
9,-1.84999170297261,7.423787269999593,80.0,40.0
10,-2.1744045957242397,11.551371549001487,85.0,44.0
11,-2.5173702712975694,15.979274727000302,91.0,48.0
12,-2.8808237193936566,23.416892750999978,97.0,52.0
13,-3.2667499233105337,33.20445025200024,103.0,56.0
14,-3.677224286862468,45.94730748299844,110.0,60.0
15,-4.114438150071851,64.29387837000104,116.0,64.0
16,-4.580722565273908,82.99117111600208,122.0,68.0
17,-5.078571786155912,109.3372156530022,129.0,72.0
18,-5.610666898413721,141.07918505400085,136.0,76.0
19,-6.1798999760277065,181.46240025599764,143.0,80.0
20,-6.78939880213545,227.7448752550008,150.0,84.0
21,-7.442551991250186,284.8326836009983,157.0,88.0
22,-8.143034126205432,352.232274441998,165.0,92.0
23,-8.894830295130742,440.2964971930014,172.0,96.0
