,E,Time,conv,number_of_basis_states
0,2.7810477729691714,0.002082432999941375,27.0,4.0
1,2.709823623990691,0.013326082999810751,30.0,8.0
2,2.669631539638786,0.049175818000094296,33.0,12.0
3,2.642440090664383,0.13429642500000227,35.0,16.0
4,2.6222513265756944,0.29336431299998367,37.0,20.0
5,2.606380183846043,0.5899777760000688,39.0,24.0
6,2.5934107511338316,1.0464230019999832,40.0,28.0
7,2.58251084226411,1.8480564730000424,42.0,32.0
8,2.5731537173136365,2.9386920750000627,43.0,36.0
9,2.5649863466179545,4.575734435000186,45.0,40.0
10,2.5577612379995234,6.925223441000071,46.0,44.0
11,2.5512990595330787,9.149297595000007,47.0,48.0
12,2.5454657345556337,13.085378685000023,49.0,52.0
13,2.540158755240776,17.871171108999988,50.0,56.0
14,2.5352980945295203,23.70484185800001,51.0,60.0
15,2.530820178233053,32.01540348599997,52.0,64.0
16,2.5266737216203317,40.801106078999965,54.0,68.0
17,2.522816805407699,51.89705889700008,55.0,72.0
18,2.519214759869609,64.77668352899991,56.0,76.0
19,2.515838604223738,80.68956096800002,57.0,80.0
20,2.51266389347184,98.06568512800004,58.0,84.0
21,2.5096698241600333,119.64908356699993,59.0,88.0
22,2.5068385655113183,145.44978029499998,61.0,92.0
23,2.5041547213316937,177.08538450800006,62.0,96.0
